Order_ID,Merchant,Original_Time,Quantity,Item,Details,Price,Subtotal,Discount,Delivery_Fee,Bag_Fee,Platform_Fee,Tip,Total_Incl_Tax,Date,Weekday,Time_24hr
wbkv-iwce,早安有喜 (台中博館店),2月4日 週日 上午8:18,1,蜂蜜百香,去冰,65,0,0,0,0,0,0,0,2022/02/04,Sunday,08:18
wbkv-iwce,早安有喜 (台中博館店),2月4日 週日 上午8:18,1,蛋,半熟,20,0,0,0,0,0,0,0,2022/02/04,Sunday,08:18
tn6s-58ns,濰克早午餐 (台中民權店),2月3日 週六 上午9:34,1,煙燻雞肉蛋餅,,70,0,0,0,0,0,0,0,2022/02/03,Saturday,09:34
tn6s-58ns,濰克早午餐 (台中民權店),2月3日 週六 上午9:34,1,秘製覺醒【棒腿】,,65,0,0,0,0,0,0,0,2022/02/03,Saturday,09:34
tn6s-58ns,濰克早午餐 (台中民權店),2月3日 週六 上午9:34,1,濃湯,,50,0,0,0,0,0,0,0,2022/02/03,Saturday,09:34
a0uk-wpzy,Mr.RAMEN豚骨拉麵店 (嘉義店),1月24日 週三 下午6:21,1,北海道味噌拉麵,,160,0,0,0,0,0,0,0,2022/01/24,Wednesday,18:21
w9uz-z7ld,Heart Churros 哈啾吉拿甜心館,1月17日 週三 下午3:38,2,超值雙享餐，附贈冰茶一杯,"肉桂吉拿棒, 蜂蜜",500,0,0,0,0,0,0,0,2022/01/17,Wednesday,15:38
ygc4-ebpn,(文)豬心冬粉,1月5日 週五 下午8:50,1,豬心冬粉,,125,0,0,0,0,0,0,0,2022/01/05,Friday,20:50
ygc4-ebpn,(文)豬心冬粉,1月5日 週五 下午8:50,1,蝦仁飯【小】,,85,0,0,0,0,0,0,0,2022/01/05,Friday,20:50
ygc4-ebpn,(文)豬心冬粉,1月5日 週五 下午8:50,1,豬肝湯,,125,0,0,0,0,0,0,0,2022/01/05,Friday,20:50
ygc4-ebpn,(文)豬心冬粉,1月5日 週五 下午8:50,1,川燙麻油腰子,,155,0,0,0,0,0,0,0,2022/01/05,Friday,20:50
k8q7-yr2x,宏記鍋燒意麵,12月21日 週四 下午6:47,1,味增鍋燒意麵,,130,0,0,0,0,0,0,0,2021/12/21,Thursday,18:47
xr88-0lu6,CoCo都可 (松山壹號店),12月21日 週四 下午3:22,1,珍珠鮮奶茶,"無糖, 溫",80,0,0,0,0,0,0,0,2021/12/21,Thursday,15:22
xr88-0lu6,CoCo都可 (松山壹號店),12月21日 週四 下午3:22,1,芋頭QQ牛奶,去冰,105,0,0,0,0,0,0,0,2021/12/21,Thursday,15:22
xr88-0lu6,CoCo都可 (松山壹號店),12月21日 週四 下午3:22,2,手採紅茶,"3分糖, 溫",90,0,0,0,0,0,0,0,2021/12/21,Thursday,15:22
xr88-0lu6,CoCo都可 (松山壹號店),12月21日 週四 下午3:22,1,QQ奶茶,"5分糖, 熱",55,0,0,0,0,0,0,0,2021/12/21,Thursday,15:22
v0qc-pqv6,清心福全 (嘉義大雅店),12月21日 週四 下午12:49,1,桂圓茶,熱飲,45,0,0,0,0,0,0,0,2021/12/21,Thursday,12:49
r185-gjin,胖老爹美式炸雞 (永和智光店),12月17日 週日 下午3:28,1,4號餐(雞翅+雞塊+雞腿+小飲料),可口可樂350ml,195,0,0,0,0,0,0,0,2021/12/17,Sunday,15:28
r185-u5rc,胖老爹美式炸雞 (永和智光店),12月10日 週日 下午11:07,1,2號餐(雞塊+雞腿+小飲料),飛享茶檸檬紅茶,150,0,0,0,0,0,0,0,2021/12/10,Sunday,23:07
r185-u5rc,胖老爹美式炸雞 (永和智光店),12月10日 週日 下午11:07,1,雞腿,,70,0,0,0,0,0,0,0,2021/12/10,Sunday,23:07
a9of-h27x,小鮮雞鹹水雞 滷味,11月27日 週一 下午9:40,1,烟燻雞胸,"去骨, 不辣",85,0,0,0,0,0,0,0,2021/11/27,Monday,21:40
a9of-h27x,小鮮雞鹹水雞 滷味,11月27日 週一 下午9:40,1,雞肝,,28,0,0,0,0,0,0,0,2021/11/27,Monday,21:40
